"1","Bulbasaur","001","Kanto forests and jungles","When Bulbasaur are born, their mothers plant seeds on their backs. The plants form symbiotic relationships with their hosts, growing alongside the Pokémon and providing them with sustenance. By lying about in the sun, Bulbasaur allow the plants on their backs to photosynthesize and produce energy, which they can then use for themselves. The plants are able to become mobile by virtue of their active hosts, allowing them to move out of shaded areas and thus benefiting them as well. Additionally, Bulbasaur can utilize their plants to perform Grass- and Poison-type attacks such as Razor Leaf and Poison Powder. The attacks protect both the Pokémon and the plants from harm. In the wild, Bulbasaur tend to be very rare, as they are shy creatures that prefer the company of their own kind. However, they are also generally very docile, tame, and loyal to people that they trust, and for that reason are one of the species of Pokémon available for starting trainers to choose in the region of Kanto.","﻿Evolves into Ivysaur at Lvl 16Ivysaur evolves into Venusaur at Lvl 32","Grass/Poison"," 2'04\" | 0.7 m"," 15.2 lbs | 6.9 kg"," Overgrow |"," "," Monster | Grass"," Monster | Grass","
			Caution
		"
"704","Goomy","704","Swamps, marshes","Though they don’t look the part, Goomy are in fact Dragon-type Pokémon. These Pokémon have no bones, chitin, or other hard tissues within their mostly-aquatic bodies whatsoever, allowing them to contort themselves and squeeze through tight spaces. Goomy are often considered the weakest of all Dragon-type Pokémon because of their paltry attacks and soft torsos. However, they are far from defenseless; their gooey bodies are covered in slick films of special mucus that cause physical attacks to slide off of them harmlessly. It also possesses a moderate paralyzing agent that will stun those that try to grab them. This mucus also helps keep these Pokémon hydrated outside of wet environments, though they can only keep the Pokémon protected temporarily; Goomy must spend most of their time resting in damp, shady areas in order to keep their slimy bodies from drying out, as they breathe through their skin. Despite these protections, Goomy are still timid creatures that will hide as soon as their horns sense danger. These horns are very sensitive to changes in air flow and humidity, allowing them to detect the precense of others from afar. Because of their cute appearances, Goomy are popular amongst trainers of all ages. They serve as the mascots of companies, universities, fan clubs. The protection of Goomy habitats was the main motivation behind the declaration of Kalos Route 14 as a nature preserve.","﻿Evolves into Sliggoo at Lvl 40Sliggoo evolves into Goodra at Lvl 50 in the rain","Dragon"," 1'00\" | 0.3 m"," 6.2 lbs | 2.8 kg"," Sap Sipper | Hydration |"," "," Dragon"," Dragon","
			Caution
		"
"705","Sliggoo","705","Swamps, marshes","For some odd reason scientists have not yet figured out, Goomy essentially lose their sight upon evolution. Sliggoo have severely underdeveloped eyes compared to both Goomy and Goodra; one hypothesis explaining this is similar to that of cave troglodytes, in which Goomy lose their vision upon evolution because it is largely unnecessary for survival in the damp and dark swamps where they live. Instead of sight, Sliggoo use their four horns to detect both sound and smell; these senses are highly  developed to compensate for their lack of vision. To protect themselves, Sliggoo will excrete a sticky yet highly corrosive liquid onto foes (consisting of digestive fluids mixed with mucoid glycoproteins). They slurp of the dissolved remains of prey, as they are toothless. They seem to have trouble distinguishing friend from food, however. Their humps resemble shells, but in fact hold their coiled digestive tracts as well as their small brains. It is said that they are only able to think of finding food and escaping enemies as they strive towards evolution.As Sliggoo travel, they leave behind trails of foul-tasting, gooey mucus that most predators avoid; it is likely that the disgusting slime keeps them at bay.","﻿Evolves from Goomy at Lvl 40Evolves into Goodra at Lvl 50 in the rain","Dragon"," 2'07\" | 0.8 m"," 38.6 lbs | 17.5 kg"," Sap Sipper | Hydration |"," "," Dragon"," Dragon","
			Caution
		"
"706","Goodra","706","Swamps, marshes","When Sliggoo evolve into Goodra, they regain their sight, once again for some reason that scientists don’t yet understand. Despite evolving from the weak Goomy, Goodra are among the strongest Dragon-types in existence. They are normally found in wet swamps and marshes, as they need to stay moist at all times. However, the slimy mucus covering their bodies, which drips off of them as they travel, can keep them hydrated for long periods of time. Goodra are friendly, though shy and a bit slow-witted. They display their affection by hugging their friends or trainers. This leaves their loved ones covered in a sticky, unfortunately cloth-staining, slime. They will cry gooey tears when lonely. Despite their amiability, however, Goodra can attack powerfully in battle. They use their stretchy horns to launch devastating punches with strength a hundred times greater than that of a pro boxer. They can also coat their foes in sticky mucus to slow down their movement and whip them with their strong tails. The combination of slime and a thick layer of fat beneath their skin allows Goodra to shake off direct hits easily. Goodra love playing in the rain and will leave their shady habitats to frolic about during drizzles.","﻿Goomy evolves into Sliggoo at Lvl 40Evolves from Sliggoo at Lvl 50 in the rain","Research Notes","","Dragon"," 6'07\" | 2.0 m"," 38.6 lbs | 17.5 kg"," "," ","
			Caution
		"
"707","Klefki","707","Urban towns and cities","Klefki are a rather odd species of Pokémon; from the scant information known about their past, they seem to have sprung into existence around the same time that humans settled into civilizations rather than hunter-gatherer nomadic tribes. Some scientists believe that they used to live primarily in mines before humans developed metalworking. These Pokémon spend their lives simply collecting keys; no one knows what purpose this serves them as a species. Regardless, Klefki will float around human settlements in search of keys. When they find ones they like, they will unhook their loops and add them to their collections before resealing their loops again. They will protect their keys with their lives, only releasing them to trusted allies and trainers. For this reason, some businesses train Klefki to protect valuable keys to safes and vaults. These Pokémon jingle their keys as a warning signal to foes, though this technique seems to be rather ineffective at warding off aggressors. They can wield a number of status-inflicting enchantments rather well, however. Generally, when keys suddenly go missing, they were likely stolen by Klefki; they seem to very much prefer master copies, settling for lesser versions only if they are the only ones around.","​Pokémon and all associated names and characters are trademarked and © 1995-2019 Nintendo. All non-original images are provided by Bulbapedia, © 1995-2019 Nintendo.No copyright infringement intended.","Steel/Fairy"," 0'08\" | 0.2 m"," 6.6 lbs | 3.0 kg"," Prankster |"," "," Mineral"," Mineral","
			Caution
		"
"708","Phantump","708","Forests, woods","According to folklore, Phantump are the souls of children who died while lost in the forest. They are said to be created when these souls possess rotting stumps. Phantump sound strikingly similar to scared children crying out in distress. Each one has a unique cry; many believe that these shrieks are the voices of the children that Phantump used to be. These Pokémon are said to use their cries to lure people and Pokémon looking to help lost children into the woods. There, they face the same fate that Phantump were said to have succumbed to, being trapped forever in the forest as Trevenant shift trees to block their escape. Parents always warn their children about Phantump and Trevenant to keep them from venturing unsupervised into the woods. Some believe that the Phantump are unaware of the fates of their victims, as they are only calling out to find friends to play with. Phantump themselves seem to always be very hesitant to leave the abandoned woods in which they dwell; they can be lured out, however, with stuffed animals, candy, and other things that young children enjoy. It is said boiling their leaves will create an all-curing remedy, though some warn that this is a form of black magic.","﻿Evolves into Trevenant through trade","Ghost/Grass"," 1'04\" | 0.4 m"," 15.4 lbs | 7.0 kg"," Natural Cure | Frisk |"," "," Grass | Amorphous"," Grass | Amorphous","
			Caution
		"
"709","Trevenant","709","Forests, woods","Many legends include malicious Trevenant, which most modern interpretations consider a manifestation of the natural fear of what lurks within gloomy forests. Trevenant can be found in dark, eerie woods, where they form a vital part of local ecosystems. In addition to providing shelter for a number of different Pokémon, they are also capable of manipulating trees by extending their nerve-containing roots underground to attach to other roots like makeshift “nervous” systems of sorts. This ability allows Trevenant to protect their forests from attackers, shifting trees to block entrances and exits. If someone attempts to harm their forests, Trevenant will punish them by cursing and trapping them in the woods for all of eternity, unable to escape the moving trees. It is said that people trapped in this manner eventually turn into Phantump or Trevenant themselves (or are devoured, according to some myths). Trevenant dislike light and despise fire, however, so lumberjacks will bring along Fire-type Pokémon as a safety precaution. Despite their ominous reputations, Trevenant are very kind to the Pokémon that dwell on their bodies and in their forests and will not bother those who do not try to endanger them.","﻿Evolves from Phantump through trade","Research Notes","","Ghost/Grass"," 4'11\" | 1.5 m"," 156.5 lbs | 71.0 kg"," "," ","
			Caution
		"
"710","Pumpkaboo","710","Fields, farmlands, urban areas","Pumpkaboo are crepuscular (specifically, vespertine) Pokémon that also remain active throughout the night. They are most restless, however, just as the sun sets and twilight arrives. These Pokémon are said to be souls unable to cross into the spirit world, taking refuge inside pumpkins instead until they can finally pass. Their gourd bodies can vary considerably in size and weight. Though unable to enter the spirit world themselves, Pumpkaboo are thought to act as psychopomps, leading recently-deceased souls to places where they can move on. The Pokémon Dusknoir are believed to pick these spirits up here to ferry them into the world of the dead while Pumpkaboo remain behind. The lights on these Pokémon’s bodies are thought to show lost spirits the path to the spirit world; for this reason, living travelers who encounter these lights try to avoid them whenever possible. Some believe that Pumpkaboo can hypnotize those that stare into these lights for too long. When daylight approaches, Pumpkaboo settle down, rest, and wait for the sun to set again. They sleep, like pumpkins, on the dirt in fields and rural areas.","﻿Evolves into Gourgeist through trade","Ghost/Grass"," 1'00\" | 0.3 m (Small) ||"," 1'04\" | 0.4 m (Average) ||"," 1'08\" | 0.5 m (Large) ||"," 2'07\" | 0.8 m (Super)"," 11.0 lbs | 5.0 kg (Average) || 16.5 lbs | 7.5 kg (Large) || 33.1 lbs | 15.0 kg (Super)"," 11.0 lbs | 5.0 kg (Average) || 16.5 lbs | 7.5 kg (Large) || 33.1 lbs | 15.0 kg (Super)","
			Caution
		"
"711","Gourgeist","711","Fields, farmlands, urban areas","Like Pumpkaboo, Gourgeist come in a range of different sizes and weights; larger Gourgeist tend to be more durable, but slower, while smaller ones are more agile, but frailer. Gourgeist were feared in the past by villagers and townspeople who lived near their habitats. On nights of the new moon, these Pokémon would wander throughout city streets singing an eerie, blood-chilling song that was thought to curse those who heard it. Villagers were not to open doors to anyone; it was believed that Gourgeist would go knocking from house to house and would spirit away anyone who answered. As a ritual to keep them at bay, townspeople would light candles inside gourds resembling Gourgeist and place them in front of their houses in hopes that the lights would make their streets too bright for them to travel (as they are only active during the new moon). This tradition still carries on today in some areas, though people now know that the singing of these Pokémon doesn’t actually curse listeners. Costumed children will go from house to house knocking like Gourgiest were said to do. To hunt, Gourgeist wrap their hairlike arms around their victims and drain their souls. They sing their signature, unsettling melody, seemingly gleefully, while watching their prey suffer.","﻿Evolves from Pumpkaboo through trade","Research Notes","","Ghost/Grass"," 2'04\" | 0.7 m (Small) ||"," 2'11\" | 0.9 m (Average) ||"," 5'07\" | 1.7 m (Super)"," 5'07\" | 1.7 m (Super)","
			Caution
		"
"712","Bergmite","712","Glaciers, icy mountains, polar seas","Bergmite live in large herds on top of freezing glaciers and within the crags of icy mountains. They spend much of their time living on top of parent Avalugg, huddling upon their flat backs. They will freeze their feet into place to keep from sliding about. Bergmite greatly dislike temperatures above freezing and never venture anywhere not covered in snow or ice; unlike their evolutions Avalugg, their bodies cannot withstand heat for extended periods of time. This is why they often cluster on top of their parents, as the bodies of Avalugg radiate freezing air that keep their children comfortable. To defend themselves, Bergmite expel chilling air of temperatures as low as -150ºF (-100ºC) to freeze foes solid. They cover their bodies with sharp spikes of ice by freezing moisture in the air to shield themselves from attacks. Bergmite never allow their true bodies to show through the ice covering them. They chill the air around them in order to fix cracks in this ice. When faced with particularly strong threats, Bergmite will wedge themselves into the crevasses of their parent Avalugg, only exposing their icy spikes to potential danger.","﻿Evolves into Avalugg at Lvl 37","Ice"," 3'03\" | 1.0 m"," 219.4 lbs | 99.5 kg"," Own Tempo | Ice Body |"," "," Monster | Mineral"," Monster | Mineral","
			Caution
		"
"713","Avalugg","713","Glaciers, icy mountains, polar seas","Avalugg are often seen with herds of Bergmite, their offspring, huddled on their backs. This makes them appear like aircraft carriers from a distance. The true bodies of Avalugg are coated in thick layers of ice; this ice is as hard as steel and resistant to melting. They radiate chilling air from their bodies, encouraging Bergmite to stay on their freezing backs rather than venture out into their warmer surroundings. Their heavy, hard bodies can crush most objects with ease. However, they are also rather cumbersome and slow, and experiencing great difficulty when attempting to pass through narrow areas. Despite their weight, Avalugg have bodies that are less dense than water, enabling them to float like rafts when submerged. They will carry their offspring from glacier to glacier in this manner. When Avalugg are threatened, the Bergmite on their backs will lodge themselves into their crevasses, covering them in sharp and icy spikes. With their backsides protected, Avalugg will then try to crush foes with their weight. Avalugg are diurnal Pokémon; their crevasses can be observed widening in the morning sun as they go about their day before rebuilding as they rest for the night.","﻿Evolves from Bergmite at Lvl 37","Research Notes","","Ice"," 6'07\" | 2.0 m"," 1113.3 lbs | 505.0 kg"," "," ","
			Caution
		"
"714","Noibat","714","Caves, forests","Noibat can be found in dark caves where little to no light penetrates. Because vision is largely useless in these areas, Noibat have adapted to navigate their surroundings through echolocation. They can produce ultrasonic pitches as high as 200,000 Hertz, far higher than human ears can perceive.  Unlike other Pokémon that use echolocation, however, Noibat don’t create these sound waves from their mouths; instead, the organs that both produce and receive sonic waves are located in their large ears. The pitches that Noibat use for echolocation can be disorienting even to people and Pokémon that do not consciously hear them; pro-wrestlers trained to maintain their balance can become dizzy when near these Pokémon. People traveling in Noibat caves often become lost because of the disorienting sounds. Noibat use this ability when threatened to confuse foes and escape. Prolonged exposure to the frequencies at which Noibat echolocate can damage a person’s hearing. Noibat trainers are advised to wear special headphones that block out such frequencies. Recently, it has been discovered that these Pokémon use sonar to determine the hollowness and thus ripeness of fruits, their favorite food.","﻿Evolves into Noivern at Lvl 48","Flying/Dragon"," 1'08\" | 0.5 m"," 17.6 lbs | 8.0 kg"," Frisk | Infiltrator |"," "," Flying | Dragon"," Flying | Dragon","
			Caution
		"
"715","Noivern","715","Caves, forests","Noivern spend the day sleeping in dark caves. At night, particularly on those of new moons, they venture out into forests in search of prey. Noivern use their echolocation to locate and ambush unsuspecting victims. They emit ultrasonic sound waves from their ears to disorient prey before they swoop in. These Pokémon are omnivores, however, and enjoy eating many different kinds of fruits and berries—they seem to have a particular affinity for Persim Berries. They can create sonic waves powerful enough to shatter boulders. Noivern tend to be aggressive Pokémon that will indiscriminately attack those who enter their territories. They are even known to be cruel, tormenting small Pokémon lost in the dark for pleasure. A peace offering of fruit, however, will often be enough to calm hostile Noivern down. In battle, Noivern can utilize many sound-based attacks to bring down foes, such as the dizzying Supersonic and the powerful Boomburst. They communicate warnings to other Noivern about territorial boundaries using sonar; those unfortunate enough to be caught between two conflicting Noivern may sometimes faint from dizziness.","﻿Evolves from Noibat at Lvl 48","","Research Notes","","Flying/Dragon"," 4'11\" | 1.5 m"," Frisk | Infiltrator |"," Frisk | Infiltrator |","
			Caution
		"
"716","Xerneas","716","Woodlands","Xerneas holds the power of life in its control. According to legend, it has the ability to grant immortality to those who find it; many Kalos legends involve people on quests attempting (and failing) to locate this mythical Pokémon. It is thought to be able to sprout thriving forests and revive the dead with its powers. Xerneas has the ability to transform into a giant tree and lie dormant for a thousand years, releasing its life energy throughout the world in the process; its reawakening is said to represent rebirth. Even when awake, Xerneas usually remains in its blue Neutral Mode. When using its abilities, however, its seven-colored horns and striped body will glow radiantly. Though Xerneas is the Pokémon of life, it should be noted that in Kalos mythology, life is not strictly “good;” rather, it is only half of one of the world’s integral processes. The tragic story of the immortal AZ, doomed to wander the earth forever, is often cited as an example of the consequences of eternal life. In the same way, people should desire that Xerneas and Yveltal remain in balance.","Also see Yveltal","Fairy"," 9'10\" | 3.0 m"," 474.0 lbs | 215.0 kg"," Fairy Aura"," Undiscovered","Habitat","Habitat","
			Caution
		"
"717","Yveltal","717","Wastelands","Yveltal controls the powers of death and destruction. When its black markings glow red, it absorbs the life force of all of the living things around it. For this reason, it is believed to inhabit desolate wastelands—areas that were once lush with life until it arrived. This Pokémon is said to only awaken every thousand years, lying dormant in a cocoon for centuries. According to legends, Yveltal’s awakening brings barrenness to fields, desiccation to rivers, and famine to villages. Right before it transforms into a cocoon to slumber, it will absorb the life energy of everything around it, as well as some of the whole world’s, one fintal time.  While Yveltal ushers in death and destruction, however, the culture of the Kalos region does not treat it as monstrosity. According to Kalos mythology, life and death are a necessary cycle of the world that must remain in balance; when Xerneas creates vibrant, thriving life, Yveltal must also take life away to keep the world in order. Though many people of Kalos do not desire death, they do not wish to remain alive for all of eternity, either.","Also see Xerneas","Dark/Flying"," 19'00\" | 5.8 m"," 447.5 lbs | 203.0 kg"," Dark Aura"," Undiscovered","Habitat","Habitat","
			Caution
		"
"718","Zygarde","718","Caves","Zygarde is believed to dwell underground in a hidden cave, keeping a very close watch on events going on in the world above. Very little is known about this mysterious legendary; according to traditional Kalos mythology, Zygarde will only reveal itself when the region’s ecosystem is in massive disarray, an event that has only happens in two cases. The first is when Xerneas awakens without Yveltal and causes the world to be overpopulated with life; the other is when Yveltal awakens without Xerneas and destroys much of the world. In either case, Zygarde will use its powers to force the offending Pokémon back into its slumber to restore order. Some people warn of a third situation that would awaken Zygarde—human activity disturbing the natural balance. Zygarde is made up of many Cells controlled by Cores; these Cores each have minds of their own and will gather Cells to help them deal with crises. 10% of the Cells combine to form its speedy, close combat-oriented 10% Forme; half of them combine for its serpentine 50% Forme, said to act as a sentinel watching over the environment; all of them combine for its powerful Complete Forme, said to possess the power to neutralize any threat to the world's balance.","10% Forme","Dragon/Ground"," 16'05\" | 5.0 m"," 672.4 lbs | 305.0 kg"," Aura Break (10% and 50% Formes) | Power Construct (All Formes)"," Undiscovered","Habitat","Habitat","
			Caution
		"
"719","Diancie","719","Subterranean caves, bedrock","Diancie is a mythical Pokémon said to be a mutated Carbink. It is believed to rule over an entire underground kingdom of jewels called the Diamond Domain, served by loyal Carbink. Diancie can instantly create diamonds by compressing carbon in the air between its hands; it can then fire these sharp gemstones at foes in an attack known as Diamond Storm. Diancie’s diamonds are said to have impeccable clarity and color and are thought to be the most beautiful jewels in the world. For this reason, the Diamond Domain has long been a fabled location for treasure hunters to pursue in hopes of great wealth. These diamonds are also believed to prevent illness and misfortune for those who hold or wear them. Diancie oversees the legendary Diamond Domain and makes sure that it always remains hidden from those who intended to loot it or steal from it. It also is in charge of creating the Heart Diamond, a mystical gemstone that, according to legend, is the sole source of energy that allows the Diamond Domain to continue to exist.","Can Mega Evolve into Mega DiancieAlso see Carbink","Rock/Fairy"," 2'04\" | 0.7 m"," 19.4 lbs | 8.8 kg"," Clear Body"," Undiscovered","Habitat","Habitat","
			Caution
		"
"720","Hoopa","720","Anywhere, but prefers deserts","The mythical Hoopa is said to be a troublemaking trickster that can open portals to other dimensions with its hoop. It is thought to use this ability to cause interdimensional mischief, though some believe that it also uses it to hoard objects that catch its interest in some unknown realm. Long ago, an ancient desert civilization was said to have sealed Hoopa’s true power away in an artifact known as the Prison Bottle. Opening the bottle would restore its strength for a short time; in this form, known as Unbound Hoopa, it becomes a monstrous, six-handed beast that would be able to transport anything between dimensions. Legends say that this gigantic creature once carried an entire castle of gold along with it through a hyperspace hole because of its greed. Luckily, this transformation is only temporary; after some time, the Prison Bottle will reabsorb its power and Hoopa will once again become Confined. It is thought that Confined Hoopa passes its time by playing tricks on unwary beings across dimensions.","Unbound","(Unbound)","Mythical","Psychic/Ghost (","Psychic/Dark when Unbound)"," 2'04\" | 0.7 m (Confined) || 21'04\" | 6.5 m (Unbound)"," Magician"," Magician","
			Caution
		"
"721","Volcanion","721","Mountains","Volcanion is rumored to reside deep in the mountains that border southern Kalos. According to mythology, it in fact created this part of the region by blowing away parts of the mountain range and creating a more accessible plain. The people of the area worship it for this reason. However, this Pokémon is also said to dislike humans, cloaking its domain in thick fog to deter travelers from approaching. The large ring on its body can actually detach and rotate to form two large cannons. Volcanion can fire superheated steam from these cannons with incredible force. It is thought to gather water from mountain lakes and streams for this purpose, storing it within its large hump; it then quickly heats it to rapidly produce steam. The dots on its cannons are thought to be indicative of how much water Volcanion has left, dimming and then turning red once it has completely run out. Some people believe that this Pokémon may dislike humans because it was alive to witness the horrible destruction that the great war of Kalos left behind 3,000 years ago.","​Pokémon and all associated names and characters are trademarked and © 1995-2019 Nintendo. All non-original images are provided by Bulbapedia, © 1995-2019 Nintendo.No copyright infringement intended.","Fire/Water"," 5'07\" | 1.7 m"," 429.9 lbs | 195.0 kg"," Water Absorb"," Undiscovered","Habitat","Habitat","
			Caution
		"
"722","Rowlet","722","Alolan forests and woodlands","Rowlet are one of the starter Pokémon that trainers of Alola can choose when they begin their journeys. These perceptive Pokémon can turn their heads 180º to scan all around themselves. Their keen eyes also grant them with superb night vision, which these nocturnal hunters take great advantage of. Rowlet spend the day resting in the treetops, gathering energy from sunlight through photosynthesis as they sleep. When night falls, they take flight. Rowlet stalk prey from above without making a single sound, carefully positioning themselves before diving down and ambushing their prey with a pummeling of fast kicks with their sharp talons. They can also use the move Leafage to fire their sharp, feather-like leaves from their wings like arrows and impale victims. Rowlet have an odd habit of turning their heads around fully to watch their trainers intently during battles. They are calmed by dark, tight spaces and will often burrow into the bags and coat pockets of trainers to rest. They are popular amongst Alolan trainers for their stoic demeanors and observational skills, making them common choices for starter Pokémon.","﻿Evolves into Dartrix at Lvl 17Dartrix evolves into Decidueye at Lvl 34","Research Notes","","Grass/Flying"," 1'00\" | 0.3 m"," 3.3 lbs | 1.5 kg"," "," ","
			Caution
		"
"723","Dartrix","723","Alolan forests and woodlands","Many beginning trainers are surprised when their Rowlet, once quiet and unassuming, evolve into vain and proper Dartrix. Dartrix are obsessed with their appearances, spending most of their free time preening themselves. If their feathers become dirty or unkempt, they will be rendered unable to focus on anything else until they tidy themselves up. Consequently, they will also get angry at and stop listening to trainers that ignore their need for cleanliness. They can also be quite high-strung Pokémon; if they make an error in battle, they will obsess over it and often exacerbate the mistake by desperately trying to fix it. All of this fussiness, however, belies the fact that Dartrix are very skilled archers. When focused, Dartrix can sense approaching foes from any direction, even behind. They can fire sharp feathers, known as blade quills at opponents and strike them dead-on without even looking. Dartrix can even curve the trajectories of their quills to arc around obstacles and reach their targets. Dartrix trainers must learn to manage their Pokémon’s fussiness in order to take advantage of their true skill.","﻿Evolves from Rowlet at Lvl 17Evolves into Decidueye at Lvl 34","Research Notes","","Grass/Flying"," 2'04\" | 0.7 m"," 35.3 lbs | 16.0 kg"," "," ","
			Caution
		"
"724","Decidueye","724","Alolan forests and woodlands","Decidueye are incredibly skilled at both stealth and archery. When a Decidueye decides upon a target, it will seemingly disappear from view as it begins to stalk it from afar. Once its victim completely loses track of it, it will strike with a single arrow quill, plucking it from within its wing and stringing it on its vine-like tassels. Decidueye can fire feathers within a tenth of a second and over half a mile (0.8 km) away. It is said that they shoot with enough strength to pierce a pebble over 100 yards (90 meters) away. Decidueye can nock and shoot within a tenth of a second, and can expertly curve their arrow quills to strike unsuspecting foes. Decidueye can fire barrages of arrows into the air so that they rain down on many foes beneath them. Though they no longer are as fussy as Dartrix and usually remain calm and collected, they can sometimes become very flustered when taken by surprise. They sometimes pull on the vine on their head as a security blanket of sorts to improve their focus. Despite these occasional outbursts, many trainers still admire Decidueye for their spectacular precision and stealth, making them one of the most popular starters in Alola.","﻿Rowlet evolves from Dartrix at Lvl 17Evolves from Dartrix at Lvl 34","Research Notes","Grass/Ghost"," 5'03\" | 1.6 m"," 80.7 lbs | 36.6 kg"," Overgrow |","Long Reach","Long Reach","
			Caution
		"
"725","Litten","725","Alolan jungles and grasslands","Starting trainers in the Alola region have the opportunity to choose Litten as their starter Pokémon. Litten are known for their level-headedness and lack of outward displays of emotion. They secrete flammable oils from their skin that coats their fur. When they lick and groom themselves, they store some of this fur within their stomachs, forming furballs. Litten can cough up and ignite these furballs to shoot fireballs at foes; the size of these attacks depends on the amount of fur collected, while the way they are launched depends on how they are coughed up. Instead of shedding their fur gradually like most felines, Twice a year, Litten will ignite all of their fur at once in a fierce but quick blaze. Though many trainers choose Litten for their collected natures, they also often find that it can be difficult to gain their trust and affection because of how distant and solitary they are. Many find that Litten respond best to a moderate amount of attention; they remain aloof with too little care, but are put off if smothered. Once their faith is gained, however, Litten become reliable and loyal partners that any Alolan trainer would be lucky to have by their side.","﻿Evolves into Torracat at Lvl 17Torracat evolves into Incineroar at Lvl 34","Research Notes","","Fire"," 1'04\" | 0.4 m"," 9.5 lbs | 4.3 kg"," "," ","
			Caution
		"
"726","Torracat","726","Alolan jungles and grasslands","Litten undergo a somewhat drastic change in personality when they evolve. Instead of being distant, Torracat in fact act somewhat bratty around familiar faces. Some would even call them spoiled; they may even scratch their trainers if they displease them. Torracat also have gained a burning desire for combat. In battle, they will not stop fighting until their opponents lose their will to continue battling. Torracat use their thick manes, which have actually adapted to take the place of standard whiskers, to navigate dark areas. This helps them locate prey in the dim undergrowth of their jungle habitats or under the cover of dark nights. Torracat also possess external flame sacs that adorn their necks. When they utilize Fire-type attacks, these sacs flare up and quickly begin to heat, allowing them to begin spewing flames within seconds. The sound of fire being expelled from these sacs is said to be akin to that of a brass bell. These organs also heat up and cool down depending on their owners’ emotions. When Torracat enter the fervor of battle, their passion keeps their flame sacs burning at maximum brightness. Their fur will stand on end when Torracat healthy and happy, but lie flat and matted when they are sick or upset.","﻿Evolves from Litten at Lvl 17Evolves into Incineroar at Lvl 34","Research Notes","","Fire"," 2'04\" | 0.7 m"," 55.1 lbs | 25.0 kg"," "," ","
			Caution
		"
"727","Incineroar","727","Alolan jungles and grasslands","Trainers that can gain the affection of distant Litten and deal with impetuous Torracat are rewarded with powerful Incineroar. When Torracat evolve, their flame sacs become “flame belts,” named so because of their resemblance to wrestling championship belts. These belts ignite as these Pokémon engage in intense battles, reaching up to 3,600°F (6,500°C). Incineroar live for the heat of battle; they can become so engrossed in fights that they may ignore their trainers’ orders in favor of their own. They may even hurt opposing trainers in their fervors. Perhaps even moreso than than fighting, though, Incineroar love the adoration of others. They fight most fiercely when watched by a crowd, using grand kicks and punches before finishing off foes with showy, fiery spirals from their belts. Though they try to seem aloof on the outside, the love of young children and Pokémon gratifies them greatly. They get very depressed when heckled, however. Incineroar also lose the will to fight when faced with weaker foes; they much prefer the challenge of facing opponents as strong as or even stronger than themselves. Though they can be difficult to control, trainers of Incineroar can attest that these Pokémon truly have hearts of gold.","﻿Litten evolves into Torracat at Lvl 17Evolves from Torracat at Lvl 34","Research Notes","Fire/Dark"," 5'11\" | 1.8 m"," 183.0 lbs | 83.0 kg"," Blaze |","Intimidate","Intimidate","
			Caution
		"
"728","Popplio","728","Alolan beaches","Alolan trainers have the option of choosing Popplio as their starter Pokémon when beginning their journeys. Popplio are semiaquatic creatures; though they can reach speeds of 25 mph (40 km/h) when swimming and are indeed more agile in the water than on land, they have a rather unique technique that helps them maneuver in terrestrial environments. Popplio can snort elastic bubbles (made of water thickened with glycoproteins) out of their nostrils that linger for long periods of time. They can then leap atop of and around these bubbles to travel much faster than by waddling. Creating such bubbles takes a lot of practice, and Popplio are famous for their diligence in training their bubble-inflating skills. As they train, they can blow larger and more resilient bubbles. These Pokémon are also playful when not practicing; they love to perform acrobatic tricks with their bubbles in front of others, which also serve as trial runs for new strategies in battle. After gaining height by bouncing on these bubbles, they can attack opponents from the air in highly technical maneuvers. They can also pop their bubbles to damage foes with surprising force. Because of their dedication, playfulness, and acrobatic capabilities in battle, Popplio make an excellent choice of starter Pokémon for any Alolan trainer.","﻿Evolves into Brionne at Lvl 17Brionne evolves into Primarina at Lvl 34","Research Notes","","Water"," 1'04\" | 0.4 m"," 16.5 lbs | 7.5 kg"," "," ","
			Caution
		"
"729","Brionne","729","Alolan beaches","Brionne live in colonies on beaches and rocks near the sea shore. They are skilled dancers that rehearse tirelessly in order to memorize new routines. Brionne teach one another dances through performance and imitation; they may also decide to learn routines from humans if they like them enough. Thanks to their practice, Brionne have impeccable timing and can keep in perfect sync with others even in routines that they have just learned. Though rehearsal can be tiring, these Pokémon never fail to get excited when they witness a new dance that they have yet to perfect. Colonies of Brionne can be observed dancing in unison under the light of the moon on nights of calm seas, often lead by a singing Primarina. In battle, Brionne combine their dancing with many large balloons of water to create stunning displays. As they prance about to confuse opponents, they slap balloons into them that explode upon contact. Brionne always strive to keep a positive and cheerful demeanor, even when they are upset, sad, or simply fatigued from their tireless rehearsals. They will only reveal their true emotions to those that they most closely trust; even wild Brionne in colonies may not outwardly display how they are feeling to other members.","﻿Evolves from Popplio at Lvl 17Evolves into Primarina at Lvl 34","Research Notes","","Water"," 2'00\" | 0.6 m"," 38.6 lbs | 17.5 kg"," "," ","
			Caution
		"
